playerLabel,birthPlace
AleksandarMitrovic,
AlexisMacAllister,
AndersonTalisca,
CodyGakpo,
CristianoRonaldo,Funchal
DarwinNunez,
ErlingHaaland,England national football team
HarryKane,
HeungMinSon,
JamalMusiala,
JamesMaddison,
JudeBellingham,
KevinDeBruyne,
KylianMbappe,France national football team
LionelMessi,Argentina national football team
LuisDiaz,
LukaModric,
MohamedSalah,Egypt national football team
NeymarJr,Brazil national football team
OusmaneDembele,
PhilFoden,
RobertLewandowski,
RubenNeves,
SadioMane,
TrentAlexanderArnold,
ViniciusJr,
VirgilVanDijk,
